Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
scenario75,0,100,0.4,40,1,0,0,40,1,80,100,-90,2
scenario76,0,40,0.1,40,3,40,40,80,0,20,40,90,1
scenario77,1,100,1,20,2,20,40,40,2,80,40,90,0
scenario78,1,100,0.4,60,1,40,80,20,1,40,20,90,2
scenario79,1,20,0.4,0,1,40,80,0,1,60,80,90,2
scenario80,2,0,0.6,40,2,100,40,80,2,40,80,90,0
scenario81,0,60,0.6,80,3,100,60,60,0,40,60,-30,1
scenario82,2,80,1,100,2,80,0,80,2,60,20,0,0
scenario83,0,0,0.1,40,3,20,80,80,0,40,0,90,1
scenario84,0,0,0.4,0,3,0,60,100,0,80,20,0,1
scenario85,1,0,0.8,40,3,60,80,0,1,80,20,30,0
scenario86,0,0,0.6,40,1,80,20,20,1,0,20,-60,2
scenario87,0,80,0.4,60,3,40,40,80,0,20,0,30,1
scenario88,0,0,0.8,0,2,0,20,60,2,0,100,-90,2
scenario89,2,60,0.4,80,3,40,40,60,0,0,40,60,1
scenario90,2,0,0.2,60,3,80,0,100,0,20,0,60,1
scenario91,0,60,0.4,80,2,80,80,0,0,100,60,60,2
scenario92,2,0,0.8,80,1,60,100,20,1,60,40,-60,1
scenario93,0,40,0.1,0,1,40,20,40,1,0,60,30,2
scenario94,2,100,0.1,20,2,0,20,60,2,40,0,0,0
scenario95,2,80,0.2,20,3,80,0,40,0,20,0,-30,1
scenario96,0,40,0.4,40,1,40,20,100,1,20,0,60,2
scenario97,0,40,0.8,40,1,60,20,80,1,20,0,-90,2
scenario98,0,40,0.4,20,3,80,60,60,0,60,20,0,1
scenario99,0,40,0.4,100,3,100,0,80,0,60,60,30,1
scenario100,0,100,0.6,40,1,20,0,60,1,60,20,60,2
scenario101,1,100,0.1,80,3,0,40,40,0,0,80,-60,0
scenario102,2,100,0.1,100,2,40,0,40,2,0,100,-90,0
scenario103,2,60,0.8,100,3,100,40,80,0,20,0,90,1
scenario104,1,80,0.1,80,3,60,20,40,0,40,0,-60,0
scenario105,0,60,0.1,20,3,0,40,60,0,80,0,-60,1
scenario106,0,80,0.4,60,3,20,80,80,0,100,80,-90,1
scenario107,1,100,0.6,20,2,60,80,60,2,40,20,-60,0
scenario108,2,100,0.1,60,2,20,60,20,2,60,20,0,0
scenario109,1,20,0.4,20,1,20,20,40,1,80,40,0,2
scenario110,2,100,0.6,100,0,100,80,100,2,60,0,90,1
scenario111,0,60,0.2,40,2,100,40,100,0,40,60,90,2
scenario112,1,100,0.2,0,2,40,60,20,2,0,60,60,0
scenario113,0,80,0.1,60,3,60,100,100,0,100,60,0,1
scenario114,2,0,0.2,20,3,40,0,60,0,80,80,0,1
scenario115,1,0,0.8,80,2,0,80,100,2,60,0,-90,0
scenario116,1,0,0.6,0,3,80,40,40,0,0,0,-30,0
scenario117,2,0,0.6,80,2,60,20,0,2,60,40,-90,0
scenario118,1,100,0.2,60,2,20,0,60,2,100,0,-30,0
scenario119,0,60,1,40,3,40,100,40,0,20,80,90,1
scenario120,0,80,0.8,100,3,0,100,60,0,40,80,-90,1
scenario121,0,20,0.1,100,2,40,60,20,0,40,0,90,2
scenario122,0,80,0.4,20,1,80,80,60,1,60,40,0,2
scenario123,0,20,0.2,20,1,80,60,80,1,0,40,60,2
scenario124,0,20,0.4,40,3,100,0,100,0,60,40,-30,1
scenario125,0,0,0.8,80,3,40,80,20,0,0,60,-60,1
scenario126,1,100,1,80,3,60,20,20,1,100,100,60,0
scenario127,0,100,0.6,100,2,20,40,80,0,40,80,-30,2
scenario128,1,40,0.1,100,2,100,80,100,2,40,100,90,0
scenario129,0,60,0.8,60,3,40,20,20,0,0,80,90,1
scenario130,0,40,0.8,20,1,60,100,60,1,20,0,-60,2
scenario131,0,20,0.4,20,3,0,20,20,0,0,20,90,1
scenario132,1,60,0.2,40,3,20,20,0,0,100,60,-30,0
scenario133,2,80,0.4,40,2,0,80,100,2,80,0,60,0
scenario134,0,60,0.1,20,2,20,100,100,2,40,0,0,2
scenario135,1,60,0.2,60,1,40,80,0,1,60,0,30,2
scenario136,0,40,0.1,80,2,60,0,40,2,20,40,30,2
scenario137,1,40,0.4,40,1,20,60,80,1,0,20,30,2
scenario138,2,40,1,100,2,40,40,0,2,100,20,-60,0
scenario139,0,0,1,60,2,0,20,80,0,100,0,30,2
scenario140,1,0,0.2,60,1,20,100,0,1,60,40,60,2
scenario141,2,20,0.4,20,1,0,100,40,1,60,0,0,1
scenario142,2,40,0.2,40,1,100,60,40,1,100,60,0,1
scenario143,1,60,0.1,80,3,0,40,80,0,20,80,-30,0
scenario144,1,40,0.4,40,2,100,80,60,2,100,100,90,0
scenario145,0,40,1,60,2,40,60,40,0,80,40,60,2
scenario146,1,60,0.4,100,1,100,100,20,1,40,60,-30,2
scenario147,0,40,1,40,1,20,80,60,1,20,100,90,2
scenario148,1,100,0.4,80,1,80,80,40,1,80,80,0,2
scenario149,1,60,0.2,20,1,80,20,100,1,20,20,30,2
scenario150,1,0,0.2,40,1,20,60,0,1,20,20,-60,2
scenario151,0,60,0.2,0,1,40,60,80,1,60,80,60,2
scenario152,0,60,0.1,100,1,40,40,0,1,60,80,90,2
scenario153,0,40,0.6,40,2,80,40,40,2,80,20,30,2
scenario154,1,80,0.4,20,1,60,20,20,1,80,80,0,2
scenario155,2,80,0.8,20,2,40,60,80,2,0,40,30,0
scenario156,0,40,0.8,60,2,60,60,100,0,20,60,0,2
scenario157,0,40,0.6,20,2,60,80,0,2,0,100,-90,2
scenario158,2,100,0.1,80,1,20,40,60,1,60,80,90,1
scenario159,0,60,0.2,60,1,40,40,40,1,0,100,90,2
scenario160,1,100,1,20,1,20,0,60,1,80,80,-30,2
scenario161,1,80,0.1,40,1,20,100,40,1,40,80,0,2
scenario162,0,40,0.2,20,3,100,0,100,0,80,60,-30,1
scenario163,0,20,0.8,0,2,0,100,20,0,80,100,90,2
scenario164,0,20,0.8,0,1,40,80,60,1,60,20,60,2
scenario165,2,80,0.8,60,2,0,60,60,2,20,60,60,0
scenario166,1,0,0.6,100,1,60,40,100,1,100,40,-60,2
scenario167,2,0,0.8,40,2,80,0,80,2,0,20,-30,0
scenario168,2,60,1,40,2,60,80,60,2,40,80,30,0
scenario169,2,60,1,60,3,60,20,100,0,100,40,-30,1
scenario170,1,60,0.8,40,2,60,40,20,2,100,80,60,0
scenario171,0,0,0.8,40,3,80,0,100,0,80,40,60,1
scenario172,1,60,0.4,20,1,60,80,0,1,0,60,30,2
scenario173,2,40,0.6,100,3,60,0,20,0,80,40,-90,1
scenario174,2,40,0.4,100,1,100,60,20,1,40,40,0,1
scenario175,1,80,0.8,20,3,0,80,20,0,60,20,-90,0
scenario176,0,100,0.6,80,3,0,60,40,0,60,20,30,1
scenario177,0,80,0.6,80,1,40,0,0,1,60,0,60,2
scenario178,2,20,0.6,40,0,60,0,20,2,0,60,90,1
scenario179,2,40,0.6,100,2,60,0,100,2,40,20,-60,0
scenario180,2,80,0.1,40,2,0,60,0,2,20,40,60,0
scenario181,2,60,0.8,100,2,20,60,60,2,80,20,90,0
scenario182,0,20,0.6,60,2,0,80,100,0,60,60,0,2
scenario183,0,60,0.8,0,3,80,100,60,0,20,0,-90,1
scenario184,0,0,0.6,60,2,20,40,60,0,0,20,30,2
scenario185,1,40,0.2,80,2,60,100,80,2,60,20,60,0
scenario186,0,100,0.2,0,1,80,100,0,1,80,40,0,2
scenario187,2,0,0.2,20,2,80,0,40,2,80,100,90,0
scenario188,2,0,1,60,2,20,20,20,2,40,20,30,0
scenario189,2,100,0.2,100,2,80,100,60,2,100,100,0,0
scenario190,0,0,1,80,3,100,0,60,0,100,60,-60,1
scenario191,0,40,1,60,2,0,60,40,0,0,60,-30,2
scenario192,2,40,1,100,2,80,80,60,2,60,40,0,0
scenario193,1,60,1,80,3,80,60,100,1,60,100,-90,0
scenario194,2,0,1,100,2,40,80,40,2,100,40,30,0
scenario195,1,20,0.2,0,1,20,40,40,1,80,80,-60,2
scenario196,1,80,0.4,0,1,80,60,80,1,20,60,0,2
scenario197,2,0,0.8,80,2,40,80,100,2,80,0,60,0
scenario198,2,20,0.2,0,1,100,40,20,1,80,80,90,1
scenario199,0,0,0.6,100,1,40,60,60,1,80,60,-60,2
scenario200,1,80,0.6,60,1,40,40,60,1,60,20,30,2
scenario201,0,100,0.6,60,3,100,0,80,0,20,40,-60,1
scenario202,2,0,0.4,0,1,20,20,20,1,40,100,30,1
scenario203,1,60,0.6,20,1,60,60,80,1,80,20,30,2
scenario204,2,20,0.8,100,2,40,0,80,2,60,100,-90,0
scenario205,0,100,0.1,0,3,80,100,80,0,100,80,-60,1
scenario206,0,60,0.2,80,2,0,20,60,2,80,20,-30,2
scenario207,1,100,0.4,80,3,60,100,60,1,0,0,-30,0
scenario208,0,60,1,60,3,0,0,40,0,80,0,-90,1
scenario209,2,60,1,60,3,60,20,60,0,0,0,60,1
scenario210,0,0,0.1,20,3,40,0,0,0,40,20,0,1
scenario211,2,100,1,60,3,20,60,20,0,60,80,30,1
scenario212,2,20,0.2,80,0,60,0,40,2,60,40,-90,1
scenario213,0,40,0.1,40,3,60,20,80,0,20,40,-90,1
scenario214,2,20,0.6,40,1,100,20,80,1,80,40,-90,1
scenario215,1,40,0.2,20,1,20,20,80,1,100,100,-60,2
scenario216,0,80,0.1,0,1,60,100,60,1,60,0,-90,2
scenario217,1,40,0.2,60,1,60,100,80,1,100,40,0,2
scenario218,0,80,0.2,80,3,60,20,80,0,20,0,60,1
scenario219,1,60,0.4,0,1,60,0,0,1,40,20,-60,2
scenario220,0,60,0.8,100,3,20,0,100,0,40,100,-30,1
scenario221,1,100,0.1,0,3,40,0,0,0,60,80,-30,0
scenario222,1,60,1,100,1,0,20,40,1,0,0,30,2
scenario223,2,100,0.8,60,3,0,40,0,0,40,0,0,1
scenario224,0,0,0.6,100,2,80,80,0,0,0,0,-90,2
scenario225,1,0,0.1,0,2,80,60,80,2,60,40,30,0
scenario226,0,80,0.4,40,3,60,100,60,0,0,0,60,1
scenario227,1,100,1,20,3,40,80,60,1,20,40,0,0
scenario228,0,80,0.4,20,3,20,20,20,0,60,20,-30,1
scenario229,0,60,1,20,2,0,40,40,0,20,60,0,2
scenario230,0,40,0.4,0,2,0,40,80,2,0,100,90,2
scenario231,1,60,0.1,40,1,60,100,0,1,20,20,-60,2
scenario232,2,80,0.2,40,3,100,60,100,0,0,0,60,1
scenario233,1,60,0.4,0,3,0,20,100,1,100,20,30,0
scenario234,2,60,0.1,60,2,100,0,60,2,60,20,-60,0
scenario235,0,100,0.2,100,3,100,40,20,0,40,20,90,1
scenario236,1,20,1,0,1,80,20,40,1,0,60,60,2
scenario237,1,40,0.4,100,3,0,40,60,0,20,60,90,0
scenario238,2,100,1,0,2,60,100,100,2,40,40,-30,0
scenario239,1,20,0.2,100,2,100,80,100,2,80,60,0,0
scenario240,0,40,0.2,80,1,40,80,40,1,40,40,0,2
scenario241,2,100,1,0,2,20,80,20,2,20,60,-30,0
scenario242,1,0,1,60,3,60,0,20,0,100,100,-60,0
scenario243,1,100,1,100,1,100,40,80,1,20,100,-30,2
scenario244,0,80,0.4,100,1,20,100,80,1,60,80,-90,2
scenario245,1,100,0.6,20,1,20,40,0,1,20,20,30,2
scenario246,2,0,0.6,20,2,100,60,0,2,40,40,30,0
scenario247,1,0,0.4,40,3,100,80,80,0,80,0,0,0
scenario248,1,40,0.2,60,1,20,20,0,1,100,80,90,2
scenario249,0,20,0.2,80,2,100,40,60,2,60,20,-30,2
scenario250,1,0,0.1,60,1,60,100,60,1,40,0,-30,2
scenario251,0,60,0.4,60,1,20,100,80,1,40,40,0,2
scenario252,2,40,0.8,20,2,0,20,20,2,0,40,90,0
scenario253,2,0,0.6,60,3,20,0,60,0,40,80,-30,1
scenario254,0,20,1,20,3,40,20,100,0,0,0,30,1
scenario255,2,40,1,0,1,0,60,20,1,40,100,-30,1
scenario256,2,0,0.8,20,2,80,80,80,2,0,80,-90,0
scenario257,0,40,1,0,3,40,20,40,0,80,0,-90,1
scenario258,0,0,1,60,1,40,80,100,1,100,20,-30,2
scenario259,2,60,0.2,60,2,40,0,60,2,0,40,0,0
scenario260,1,80,0.4,40,3,0,0,40,0,80,20,-30,0
scenario261,0,80,0.6,20,3,60,40,60,0,20,60,30,1
scenario262,1,80,0.2,0,3,60,80,20,1,0,0,-60,0
scenario263,2,100,1,0,0,100,20,60,2,100,80,60,1
scenario264,1,40,0.2,0,3,60,100,60,0,80,80,-60,0
scenario265,0,0,1,60,3,80,100,100,0,20,20,30,1
scenario266,0,40,0.2,100,1,60,40,20,1,20,40,90,2
scenario267,1,20,0.8,80,1,20,40,20,1,100,0,60,2
scenario268,1,100,0.4,40,1,100,0,20,1,80,100,30,2
scenario269,2,60,0.2,60,2,40,100,60,2,60,0,60,0
scenario270,1,100,1,20,2,100,40,20,2,40,80,30,0
scenario271,2,80,0.6,0,2,0,100,0,2,0,40,-30,0
scenario272,0,100,0.4,80,3,100,80,80,0,0,100,-90,1
scenario273,2,100,0.6,60,2,80,100,40,2,60,80,-60,0
scenario274,0,40,0.6,0,3,0,0,0,0,0,20,-30,1
scenario275,2,20,0.6,60,2,100,60,60,2,60,40,30,0
scenario276,1,60,0.1,60,1,40,80,20,1,0,80,0,2
scenario277,2,80,0.1,100,2,40,60,0,2,100,60,0,0
scenario278,1,40,0.6,0,3,40,60,20,1,40,100,30,0
scenario279,1,0,0.4,80,2,40,0,80,2,20,40,-90,0
scenario280,0,20,0.2,40,2,0,20,80,0,20,20,-30,2
scenario281,2,100,0.4,80,2,80,0,20,2,80,100,90,0
scenario282,0,80,0.2,60,2,80,20,40,0,60,80,90,2
scenario283,2,20,0.4,100,2,0,0,0,2,40,20,-60,0
scenario284,2,0,0.8,40,2,60,20,0,2,80,100,90,0
scenario285,2,0,1,20,1,20,20,100,1,60,20,-60,1
scenario286,1,40,1,0,1,60,60,40,1,40,100,-90,2
scenario287,1,0,1,20,2,0,0,100,2,60,0,90,0
scenario288,1,0,0.1,60,3,20,60,60,1,80,100,0,0
scenario289,1,100,0.1,80,2,80,40,0,2,100,20,30,0
scenario290,2,40,0.2,40,2,60,60,100,2,60,0,-30,0
scenario291,2,60,0.8,0,2,80,20,100,2,80,60,-90,0
scenario292,1,20,0.2,60,2,60,40,0,2,100,100,90,0
scenario293,0,0,0.1,60,3,40,20,0,0,20,100,-60,1
scenario294,1,100,0.1,60,1,80,100,60,1,100,20,-30,2
scenario295,0,100,0.1,100,2,20,100,60,2,100,20,-30,2
scenario296,1,60,1,0,3,40,100,40,0,40,20,30,0
scenario297,2,20,0.6,0,2,0,40,80,2,80,100,-90,0
scenario298,1,20,0.2,20,1,100,40,0,1,100,80,-60,2
scenario299,0,60,0.2,40,2,80,40,80,0,60,20,90,2
scenario300,1,20,0.2,60,1,60,20,60,1,20,0,0,2
scenario301,0,80,0.2,60,3,80,20,60,0,100,80,-30,1
scenario302,2,80,0.8,40,2,100,20,100,2,40,40,60,0
scenario303,2,40,0.8,20,2,100,40,20,2,40,60,30,0
scenario304,0,40,0.8,80,2,60,0,100,0,0,40,-60,2
scenario305,1,60,0.2,20,2,0,80,80,2,60,80,-30,0
scenario306,1,20,1,20,2,0,40,20,2,20,20,60,0
scenario307,0,80,0.4,80,3,80,40,60,0,100,60,-90,1
scenario308,2,0,0.2,80,2,80,100,0,2,100,100,-90,0
scenario309,1,100,0.4,100,2,0,100,80,2,0,40,30,0
scenario310,1,40,0.4,20,3,0,40,80,1,100,40,-90,0
scenario311,2,40,0.4,40,2,100,20,20,2,0,80,0,0
scenario312,2,20,0.2,20,3,100,20,0,0,40,80,30,1
scenario313,0,0,0.4,40,3,40,0,40,0,60,60,90,1
scenario314,2,0,0.8,40,2,100,20,100,2,0,100,0,0
scenario315,1,40,0.6,80,2,0,60,80,2,80,20,-90,0
scenario316,2,100,0.2,60,0,0,80,40,2,100,40,-30,1
scenario317,1,60,0.8,20,1,100,40,20,1,40,40,0,2
scenario318,2,0,0.2,0,2,0,40,40,2,20,40,-60,0
scenario319,0,0,0.6,20,3,0,100,60,0,60,100,30,1
scenario320,1,0,1,100,1,40,40,60,1,60,40,-90,2
scenario321,2,20,0.1,80,1,100,0,60,1,20,100,-90,1
scenario322,2,80,0.2,40,2,100,20,100,2,80,40,30,0
scenario323,2,0,0.2,100,2,0,0,100,2,20,40,-90,0
scenario324,1,0,0.1,60,1,80,0,20,1,20,40,0,2
scenario325,1,0,1,60,1,100,80,80,1,100,80,60,2
scenario326,1,100,0.8,60,2,0,0,80,2,80,100,-30,0
scenario327,1,80,0.8,60,2,20,60,20,2,100,0,0,0
scenario328,0,20,1,100,3,100,0,60,0,60,0,60,1
scenario329,2,80,0.1,100,2,40,60,60,2,40,0,60,0
scenario330,2,20,0.1,0,1,0,0,60,1,60,60,30,1
scenario331,0,40,0.4,0,1,20,60,60,1,0,40,60,2
scenario332,0,100,0.2,80,2,80,80,20,2,0,80,60,2
scenario333,2,80,1,60,0,0,100,40,2,100,40,30,1
scenario334,0,80,0.2,100,3,0,60,20,0,80,0,60,1
scenario335,1,60,0.6,80,3,60,60,60,0,80,80,90,0
scenario336,0,60,0.6,0,1,60,20,60,1,0,60,60,2
scenario337,1,20,0.2,100,2,0,20,20,2,0,20,60,0
scenario338,2,80,0.6,40,2,80,100,60,2,80,40,30,0
scenario339,1,60,0.6,80,2,60,60,40,2,100,0,0,0
scenario340,1,100,0.4,80,1,20,80,40,1,0,0,30,2
scenario341,0,100,0.4,40,3,20,0,0,0,80,20,90,1
scenario342,0,100,0.4,80,3,80,60,20,0,100,40,60,1
scenario343,2,80,0.8,20,0,20,100,100,2,80,0,60,1
scenario344,2,0,0.8,40,2,100,40,0,2,0,0,60,0
scenario345,1,0,0.8,40,3,40,40,20,1,40,60,90,0
scenario346,1,40,0.4,20,1,20,100,0,1,80,60,0,2
scenario347,0,40,0.2,40,3,40,40,20,0,60,60,90,1
scenario348,0,80,1,20,2,60,20,20,2,80,100,-90,2
scenario349,0,0,1,80,1,0,0,80,1,40,0,90,2
scenario350,1,0,1,60,1,20,0,20,1,0,80,0,2
scenario351,1,80,0.8,0,1,40,60,0,1,100,40,-90,2
scenario352,2,60,1,60,0,80,20,100,2,0,0,-90,1
scenario353,2,60,0.6,20,1,40,80,100,1,20,0,0,1
scenario354,2,0,0.2,100,2,60,20,60,2,20,20,-30,0
scenario355,0,40,1,40,3,60,60,20,0,80,100,-90,1
scenario356,2,80,0.1,80,2,0,100,40,2,0,20,0,0
scenario357,0,0,0.1,60,2,40,60,60,2,40,60,-90,2
scenario358,1,40,0.1,0,2,0,60,0,2,0,0,-60,0
scenario359,0,80,0.6,0,1,100,0,40,1,100,80,90,2
scenario360,2,80,0.6,40,0,20,80,0,2,80,0,30,1
scenario361,2,0,0.8,80,2,40,60,40,2,40,80,-90,0
scenario362,0,20,0.6,80,3,100,100,80,0,20,0,0,1
scenario363,0,100,1,20,3,20,100,100,0,60,100,0,1
scenario364,2,60,0.1,40,0,80,20,60,2,20,20,90,1
scenario365,1,80,0.6,40,2,60,100,80,2,0,40,60,0
scenario366,0,60,0.1,80,3,80,40,60,0,20,80,90,1
scenario367,1,100,0.4,0,1,80,20,0,1,80,60,90,2
scenario368,0,60,0.8,60,3,0,80,0,0,40,100,90,1
scenario369,0,20,0.4,20,2,100,40,0,0,0,100,90,2
scenario370,0,0,0.1,80,1,100,80,20,1,60,0,-90,2
scenario371,0,0,0.6,60,3,80,80,0,0,20,0,60,1
scenario372,2,0,0.8,0,3,0,40,0,0,20,100,30,1
scenario373,1,80,0.2,0,3,100,40,60,1,100,0,60,0
scenario374,1,60,0.8,40,1,80,20,80,1,80,100,0,2
scenario375,2,0,0.1,60,3,100,100,20,0,20,20,-90,1
scenario376,0,100,0.1,0,3,20,60,20,0,60,80,0,1
scenario377,1,20,1,20,1,0,20,100,1,20,0,30,2
scenario378,1,0,1,80,1,0,20,60,1,80,0,0,2
scenario379,0,0,0.2,40,2,20,40,0,0,20,40,30,2
scenario380,0,40,0.6,60,3,100,40,80,0,40,0,90,1
scenario381,0,80,0.8,20,1,20,80,20,1,40,80,-30,2
scenario382,0,20,0.1,0,3,40,80,40,0,100,0,0,1
scenario383,1,80,1,20,1,80,100,0,1,100,60,90,2
scenario384,2,0,0.6,60,2,40,100,60,2,100,100,0,0
scenario385,1,100,0.2,60,1,60,0,40,1,100,20,-90,2
scenario386,0,100,0.1,40,1,20,40,80,1,80,20,60,2
scenario387,0,20,0.2,100,3,40,60,60,0,60,60,60,1
scenario388,1,20,0.1,100,3,80,40,100,1,0,20,30,0
scenario389,1,60,0.2,80,1,80,20,60,1,40,20,0,2
scenario390,1,80,0.6,60,1,20,100,40,1,80,100,0,2
scenario391,2,100,0.8,40,2,80,40,100,2,20,100,90,0
scenario392,0,100,1,40,3,80,100,100,0,100,100,-90,1
scenario393,0,40,0.1,80,2,100,40,20,2,20,20,-30,2
scenario394,0,20,0.2,80,3,0,20,100,0,100,60,30,1
scenario395,1,0,0.6,20,2,80,80,100,2,40,40,30,0
scenario396,0,20,0.6,20,1,80,60,0,1,0,80,-90,2
scenario397,1,80,1,60,3,20,60,40,0,0,80,60,0
scenario398,0,40,0.4,20,3,40,20,0,0,40,20,30,1
scenario399,2,40,1,100,2,80,60,80,2,100,20,-60,0
scenario400,2,40,0.6,100,2,80,100,0,2,40,0,-90,0
scenario401,2,100,0.8,100,2,40,40,20,2,80,20,60,0
scenario402,2,60,0.8,100,2,20,100,60,2,20,80,-30,0
scenario403,2,60,0.2,80,2,100,40,40,2,100,20,-30,0
scenario404,2,0,0.8,80,2,20,0,40,2,100,0,90,0
scenario405,2,0,0.8,100,2,80,100,60,2,100,0,60,0
scenario406,0,20,0.4,80,3,80,40,60,0,60,0,-60,1
scenario407,1,0,0.4,0,3,60,60,60,0,80,60,-60,0
scenario408,0,100,1,60,3,60,0,40,0,60,60,-90,1
scenario409,2,60,0.1,20,0,60,20,20,2,40,60,-90,1
scenario410,2,40,1,100,2,80,20,100,2,100,80,-90,0
scenario411,0,20,0.8,20,3,40,20,20,0,80,100,30,1
scenario412,2,20,0.2,80,2,80,60,100,2,0,20,-30,0
scenario413,1,100,0.6,100,3,0,20,60,0,40,40,90,0
scenario414,0,60,0.1,60,1,100,0,0,1,60,0,30,2
scenario415,1,0,0.1,40,3,20,80,80,0,0,0,0,0
scenario416,0,60,0.2,20,3,100,100,0,0,60,100,0,1
scenario417,2,100,1,0,2,40,0,40,2,0,80,-60,0
scenario418,2,80,0.6,100,2,80,20,100,2,0,0,-90,0
scenario419,2,40,1,100,3,20,0,0,0,60,60,-90,1
