Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,direction
scenario54,-30,40,80,0,0,0,0.8,0,100,0
scenario55,-30,40,40,0,0,0,0.8,0,100,1
scenario56,-60,40,40,0,0,0,0.8,0,100,1
scenario57,90,40,40,0,0,0,0.8,0,100,1
scenario58,-90,40,40,0,0,0,0.8,0,100,0
scenario59,-90,40,80,0,0,0,0.8,0,100,1
scenario60,-90,20,60,0,0,0,0.8,0,100,0
scenario61,-60,60,20,0,0,0,0.8,0,100,1
scenario62,60,20,60,0,0,0,0.8,0,100,1
scenario63,60,60,20,0,0,0,0.8,0,100,0
scenario64,-30,40,80,0,0,0,0.8,0,100,1
scenario65,-60,20,20,0,0,0,0.8,0,100,0
scenario66,-30,40,40,0,0,0,0.8,0,100,0
scenario67,60,20,20,0,0,0,0.8,0,100,0
scenario68,-60,40,100,0,0,0,0.8,0,100,0
scenario69,-90,40,80,0,0,0,0.8,0,100,0
scenario70,-90,40,60,0,0,0,0.8,0,100,1
scenario71,0,20,20,0,0,0,0.8,0,100,0
scenario72,90,60,80,0,0,0,0.8,0,100,1
scenario73,-90,40,20,0,0,0,0.8,0,100,1
scenario74,90,40,40,0,0,0,0.8,0,100,0
scenario75,-60,60,20,0,0,0,0.8,0,100,0
scenario76,0,40,40,0,0,0,0.8,0,100,0
scenario77,60,40,40,0,0,0,0.8,0,100,0
scenario78,-90,20,40,0,0,0,0.8,0,100,1
scenario79,-90,20,80,0,0,0,0.8,0,100,1
scenario80,-90,20,40,0,0,0,0.8,0,100,0
scenario81,30,40,60,0,0,0,0.8,0,100,1
scenario82,-90,20,100,0,0,0,0.8,0,100,0
scenario83,60,20,40,0,0,0,0.8,0,100,1
scenario84,30,20,40,0,0,0,0.8,0,100,1
scenario85,30,20,40,0,0,0,0.8,0,100,0
scenario86,60,40,60,0,0,0,0.8,0,100,1
scenario87,0,20,60,0,0,0,0.8,0,100,0
scenario88,0,20,80,0,0,0,0.8,0,100,1
scenario89,90,20,40,0,0,0,0.8,0,100,0
scenario90,30,40,80,0,0,0,0.8,0,100,1
scenario91,-30,20,80,0,0,0,0.8,0,100,1
scenario92,-60,20,40,0,0,0,0.8,0,100,1
scenario93,-30,20,80,0,0,0,0.8,0,100,0
scenario94,90,20,40,0,0,0,0.8,0,100,1
scenario95,0,20,80,0,0,0,0.8,0,100,0
scenario96,-30,20,40,0,0,0,0.8,0,100,1
scenario97,0,20,40,0,0,0,0.8,0,100,1
scenario98,-30,20,40,0,0,0,0.8,0,100,0
scenario99,60,20,60,0,0,0,0.8,0,100,0
scenario100,90,60,100,0,0,0,0.8,0,100,0
scenario101,30,20,80,0,0,0,0.8,0,100,1
scenario102,30,20,80,0,0,0,0.8,0,100,0
scenario103,60,20,100,0,0,0,0.8,0,100,0
scenario104,30,40,60,0,0,0,0.8,0,100,0
scenario105,-60,20,80,0,0,0,0.8,0,100,1
scenario106,60,40,20,0,0,0,0.8,0,100,1
scenario107,-60,20,60,0,0,0,0.8,0,100,0
scenario108,90,20,80,0,0,0,0.8,0,100,1
scenario109,-60,20,100,0,0,0,0.8,0,100,0
scenario110,-90,40,60,0,0,0,0.8,0,100,0
scenario111,-90,40,40,0,0,0,0.8,0,100,1
scenario112,60,20,100,0,0,0,0.8,0,100,1
scenario113,90,20,80,0,0,0,0.8,0,100,0
scenario114,-30,40,20,0,0,0,0.8,0,100,1
scenario115,-90,40,100,0,0,0,0.8,0,100,0
scenario116,-90,40,100,0,0,0,0.8,0,100,1
scenario117,-90,60,60,0,0,0,0.8,0,100,1
scenario118,-90,60,80,0,0,0,0.8,0,100,0
scenario119,-90,60,80,0,0,0,0.8,0,100,1
scenario120,-90,60,40,0,0,0,0.8,0,100,0
scenario121,-90,40,20,0,0,0,0.8,0,100,0
scenario122,0,40,60,0,0,0,0.8,0,100,0
scenario123,-90,60,20,0,0,0,0.8,0,100,1
scenario124,90,60,40,0,0,0,0.8,0,100,0
scenario125,30,40,40,0,0,0,0.8,0,100,1
scenario126,-90,20,80,0,0,0,0.8,0,100,0
scenario127,90,60,40,0,0,0,0.8,0,100,1
scenario128,60,60,20,0,0,0,0.8,0,100,1
scenario129,30,40,40,0,0,0,0.8,0,100,0
scenario130,-60,40,20,0,0,0,0.8,0,100,1
scenario131,60,60,40,0,0,0,0.8,0,100,0
scenario132,-60,40,20,0,0,0,0.8,0,100,0
scenario133,-90,20,40,0,0,0,0.8,0,100,1
scenario134,0,40,60,0,0,0,0.8,0,100,1
scenario135,90,40,20,0,0,0,0.8,0,100,0
scenario136,90,40,20,0,0,0,0.8,0,100,1
scenario137,-60,60,40,0,0,0,0.8,0,100,1
scenario138,60,40,40,0,0,0,0.8,0,100,1
scenario139,-90,20,40,0,0,0,0.8,0,100,1
scenario140,-90,20,40,0,0,0,0.8,0,100,0
scenario141,-90,20,40,0,0,0,0.8,0,100,1
scenario142,-90,20,40,0,0,0,0.8,0,100,0
scenario143,-90,20,80,0,0,0,0.8,0,100,0
scenario144,-90,20,80,0,0,0,0.8,0,100,0
scenario145,-90,20,80,0,0,0,0.8,0,100,1
scenario146,-90,20,40,0,0,0,0.8,0,100,0
scenario147,-90,20,40,0,0,0,0.8,0,100,1
scenario148,-90,20,40,0,0,0,0.8,0,100,1
scenario149,-90,20,40,0,0,0,0.8,0,100,1
scenario150,-90,20,80,0,0,0,0.8,0,100,0
scenario151,-90,20,40,0,0,0,0.8,0,100,1
scenario152,-90,20,40,0,0,0,0.8,0,100,0
scenario153,-90,20,40,0,0,0,0.8,0,100,0
scenario154,-90,20,80,0,0,0,0.8,0,100,1
scenario155,-90,20,60,0,0,0,0.8,0,100,0
scenario156,-30,40,60,0,0,0,0.8,0,100,1
scenario157,30,40,80,0,0,0,0.8,0,100,0
scenario158,-90,20,40,0,0,0,0.8,0,100,1
scenario159,-90,20,80,0,0,0,0.8,0,100,1
scenario160,-90,20,40,0,0,0,0.8,0,100,1
scenario161,0,40,100,0,0,0,0.8,0,100,1
scenario162,-90,20,40,0,0,0,0.8,0,100,0
scenario163,-90,20,40,0,0,0,0.8,0,100,1
scenario164,-90,20,40,0,0,0,0.8,0,100,1
scenario165,-90,20,80,0,0,0,0.8,0,100,1
scenario166,-90,20,60,0,0,0,0.8,0,100,0
scenario167,-90,20,40,0,0,0,0.8,0,100,1
scenario168,-90,20,40,0,0,0,0.8,0,100,1
scenario169,60,40,20,0,0,0,0.8,0,100,0
scenario170,-60,40,40,0,0,0,0.8,0,100,0
scenario171,-90,20,80,0,0,0,0.8,0,100,1
scenario172,-90,20,60,0,0,0,0.8,0,100,0
scenario173,-90,20,40,0,0,0,0.8,0,100,0
scenario174,-90,20,80,0,0,0,0.8,0,100,0
scenario175,-90,20,40,0,0,0,0.8,0,100,1
scenario176,-90,20,40,0,0,0,0.8,0,100,0
scenario177,-90,20,80,0,0,0,0.8,0,100,0
scenario178,-90,20,40,0,0,0,0.8,0,100,1
scenario179,-90,20,40,0,0,0,0.8,0,100,1
scenario180,-90,20,80,0,0,0,0.8,0,100,0
scenario181,-90,20,40,0,0,0,0.8,0,100,1
scenario182,-90,20,80,0,0,0,0.8,0,100,0
scenario183,-90,20,60,0,0,0,0.8,0,100,1
scenario184,-90,20,40,0,0,0,0.8,0,100,0
scenario185,-90,20,80,0,0,0,0.8,0,100,1
scenario186,-90,20,40,0,0,0,0.8,0,100,0
scenario187,-90,20,80,0,0,0,0.8,0,100,1
scenario188,-90,20,40,0,0,0,0.8,0,100,0
scenario189,-90,20,60,0,0,0,0.8,0,100,0
scenario190,-90,20,40,0,0,0,0.8,0,100,1
scenario191,-90,20,80,0,0,0,0.8,0,100,0
scenario192,-90,20,40,0,0,0,0.8,0,100,1
scenario193,-90,20,40,0,0,0,0.8,0,100,0
scenario194,-90,20,80,0,0,0,0.8,0,100,0
scenario195,-90,20,40,0,0,0,0.8,0,100,1
scenario196,-90,20,80,0,0,0,0.8,0,100,0
scenario197,-90,20,40,0,0,0,0.8,0,100,1
scenario198,-30,60,80,0,0,0,0.8,0,100,0
scenario199,-90,20,40,0,0,0,0.8,0,100,0
scenario200,-90,20,60,0,0,0,0.8,0,100,1
scenario201,-90,20,60,0,0,0,0.8,0,100,0
scenario202,-90,20,40,0,0,0,0.8,0,100,0
scenario203,-90,20,60,0,0,0,0.8,0,100,1
scenario204,-90,20,40,0,0,0,0.8,0,100,0
scenario205,-90,20,40,0,0,0,0.8,0,100,0
scenario206,-90,20,80,0,0,0,0.8,0,100,1
scenario207,-90,20,80,0,0,0,0.8,0,100,1
scenario208,-90,20,60,0,0,0,0.8,0,100,0
scenario209,-60,60,80,0,0,0,0.8,0,100,1
scenario210,90,60,80,0,0,0,0.8,0,100,0
scenario211,-90,20,40,0,0,0,0.8,0,100,0
scenario212,-90,20,80,0,0,0,0.8,0,100,0
scenario213,-90,20,80,0,0,0,0.8,0,100,1
scenario214,-90,20,80,0,0,0,0.8,0,100,0
scenario215,-90,20,40,0,0,0,0.8,0,100,0
scenario216,-90,20,80,0,0,0,0.8,0,100,1
