Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario48,60,80,0,0,0,0.8,80,20,2,0,1,0
scenario49,20,100,0,60,40,0.6,0,100,1,2,0,1
scenario50,60,60,0,0,80,0.4,0,100,0,1,2,0
scenario51,20,60,0,0,20,0.8,0,100,2,0,1,2
scenario52,20,60,0,80,40,0.6,0,100,1,2,0,2
scenario53,80,60,0,0,0,0.8,0,100,2,0,0,1
scenario54,20,20,0,0,0,0.8,0,100,1,0,2,0
scenario55,20,80,0,0,0,0.8,0,100,0,2,1,2
scenario56,20,80,0,100,40,0.6,0,100,0,1,2,1
scenario57,40,40,0,0,0,0.8,0,100,1,2,2,0
scenario58,20,20,0,20,40,0.8,0,100,0,1,1,2
scenario59,20,80,0,20,40,0.8,0,100,2,1,0,1
scenario60,20,60,0,40,40,0.8,0,100,2,0,1,0
scenario61,20,20,0,0,100,0.2,0,100,1,2,0,1
scenario62,20,100,0,0,0,0.8,0,100,0,1,2,0
scenario63,60,20,0,60,40,0.6,0,100,2,0,1,2
scenario64,20,60,0,0,0,0.8,0,100,1,2,0,2
scenario65,60,40,0,0,0,0.8,0,100,2,0,0,1
scenario66,60,20,0,0,0,0.8,0,100,1,0,2,0
scenario67,60,80,0,0,0,0.8,0,100,0,2,1,2
scenario68,40,100,0,0,0,0.8,0,100,0,1,2,1
scenario69,40,60,0,0,0,0.8,0,100,1,2,2,0
scenario70,20,40,0,20,40,0.8,0,100,0,1,1,2
scenario71,20,100,0,20,40,0.8,0,100,2,1,0,1
scenario72,20,100,0,0,0,0.8,80,20,2,0,1,0
scenario73,20,40,0,0,0,0.8,80,20,1,2,0,1
scenario74,20,40,0,0,80,0.4,0,100,0,1,2,0
scenario75,20,100,0,0,80,0.4,0,100,2,0,1,2
scenario76,60,40,0,20,40,0.8,0,100,1,2,0,2
scenario77,40,20,0,20,40,0.8,0,100,2,0,0,1
scenario78,60,80,0,20,40,0.8,0,100,1,0,2,0
scenario79,20,40,0,60,40,0.6,0,100,0,2,1,2
scenario80,20,80,0,60,40,0.6,0,100,0,1,2,1
scenario81,40,60,0,20,40,0.8,0,100,1,2,2,0
scenario82,60,100,0,0,0,0.8,80,20,0,1,1,2
scenario83,40,100,0,20,40,0.8,0,100,2,1,0,1
scenario84,60,20,0,40,40,0.8,0,100,2,0,1,0
scenario85,40,80,0,0,0,0.8,80,20,1,2,0,1
scenario86,20,40,0,0,20,0.8,0,100,0,1,2,0
scenario87,60,40,0,0,0,0.8,80,20,2,0,1,2
scenario88,20,80,0,0,80,0.4,80,20,1,2,0,2
scenario89,80,40,0,0,0,0.8,0,100,2,0,0,1
scenario90,20,40,0,80,40,0.6,0,100,1,0,2,0
scenario91,40,60,0,0,0,0.8,80,20,0,2,1,2
scenario92,20,80,0,80,40,0.6,0,100,0,1,2,1
scenario93,20,80,0,0,100,0.2,0,100,1,2,2,0
scenario94,60,40,0,0,80,0.4,0,100,0,1,1,2
scenario95,20,40,20,0,0,0.8,0,100,2,1,0,1
scenario96,20,100,0,0,20,0.8,0,100,2,0,1,0
scenario97,20,60,0,0,100,0.2,0,100,1,2,0,1
scenario98,40,20,0,0,80,0.4,0,100,0,1,2,0
scenario99,20,100,0,20,40,0.8,80,20,2,0,1,2
scenario100,80,80,0,0,0,0.8,0,100,1,2,0,2
scenario101,20,80,20,0,0,0.8,0,100,2,0,0,1
scenario102,20,60,0,0,80,0.4,80,20,1,0,2,0
scenario103,40,60,0,0,80,0.4,0,100,0,2,1,2
scenario104,40,20,0,0,0,0.8,80,20,0,1,2,1
scenario105,40,80,0,0,80,0.4,0,100,1,2,2,0
scenario106,60,100,0,0,80,0.4,0,100,0,1,1,2
scenario107,20,40,0,40,40,0.8,0,100,2,1,0,1
scenario108,20,80,0,40,40,0.8,0,100,2,0,1,0
scenario109,20,60,0,40,40,0.6,0,100,1,2,0,1
scenario110,20,20,0,40,40,0.6,0,100,0,1,2,0
scenario111,20,100,0,40,40,0.6,0,100,2,0,1,2
scenario112,20,20,0,100,40,0.6,0,100,1,2,0,2
scenario113,20,40,0,0,100,0.4,0,100,2,0,0,1
scenario114,20,20,0,0,100,0.4,0,100,1,0,2,0
scenario115,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario116,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario117,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario118,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario119,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario120,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario121,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario122,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario123,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario124,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario125,20,60,0,0,100,0.4,0,100,2,0,0,1
scenario126,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario127,20,80,0,0,100,0.4,0,100,0,2,1,2
scenario128,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario129,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario130,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario131,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario132,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario133,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario134,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario135,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario136,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario137,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario138,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario139,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario140,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario141,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario142,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario143,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario144,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario145,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario146,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario147,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario148,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario149,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario150,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario151,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario152,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario153,60,40,0,40,40,0.8,0,100,1,2,2,0
scenario154,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario155,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario156,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario157,20,100,0,0,100,0.4,0,100,1,2,0,1
scenario158,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario159,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario160,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario161,40,40,0,60,40,0.6,0,100,2,0,0,1
scenario162,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario163,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario164,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario165,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario166,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario167,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario168,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario169,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario170,20,100,20,80,40,0.6,0,100,0,1,2,0
scenario171,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario172,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario173,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario174,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario175,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario176,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario177,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario178,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario179,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario180,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario181,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario182,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario183,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario184,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario185,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario186,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario187,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario188,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario189,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario190,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario191,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario192,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario193,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario194,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario195,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario196,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario197,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario198,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario199,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario200,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario201,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario202,20,40,0,20,40,0.8,80,20,0,1,1,2
scenario203,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario204,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario205,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario206,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario207,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario208,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario209,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario210,20,20,0,0,80,0.4,80,20,1,0,2,0
scenario211,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario212,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario213,40,20,0,60,40,0.6,0,100,1,2,2,0
scenario214,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario215,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario216,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario217,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario218,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario219,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario220,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario221,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario222,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario223,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario224,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario225,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario226,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario227,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario228,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario229,40,40,0,40,40,0.8,0,100,1,2,0,1
scenario230,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario231,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario232,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario233,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario234,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario235,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario236,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario237,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario238,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario239,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario240,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario241,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario242,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario243,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario244,20,100,0,100,40,0.6,0,100,1,2,0,2
scenario245,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario246,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario247,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario248,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario249,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario250,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario251,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario252,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario253,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario254,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario255,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario256,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario257,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario258,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario259,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario260,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario261,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario262,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario263,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario264,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario265,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario266,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario267,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario268,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario269,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario270,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario271,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario272,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario273,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario274,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario275,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario276,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario277,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario278,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario279,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario280,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario281,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario282,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario283,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario284,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario285,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario286,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario287,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario288,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario289,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario290,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario291,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario292,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario293,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario294,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario295,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario296,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario297,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario298,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario299,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario300,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario301,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario302,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario303,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario304,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario305,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario306,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario307,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario308,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario309,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario310,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario311,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario312,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario313,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario314,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario315,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario316,20,40,20,80,40,0.6,0,100,1,2,0,2
scenario317,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario318,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario319,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario320,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario321,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario322,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario323,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario324,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario325,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario326,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario327,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario328,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario329,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario330,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario331,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario332,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario333,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario334,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario335,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario336,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario337,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario338,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario339,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario340,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario341,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario342,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario343,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario344,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario345,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario346,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario347,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario348,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario349,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario350,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario351,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario352,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario353,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario354,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario355,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario356,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario357,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario358,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario359,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario360,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario361,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario362,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario363,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario364,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario365,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario366,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario367,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario368,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario369,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario370,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario371,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario372,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario373,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario374,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario375,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario376,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario377,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario378,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario379,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario380,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario381,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario382,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario383,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario384,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario385,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario386,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario387,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario388,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario389,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario390,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario391,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario392,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario393,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario394,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario395,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario396,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario397,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario398,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario399,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario400,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario401,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario402,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario403,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario404,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario405,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario406,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario407,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario408,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario409,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario410,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario411,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario412,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario413,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario414,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario415,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario416,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario417,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario418,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario419,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario420,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario421,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario422,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario423,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario424,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario425,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario426,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario427,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario428,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario429,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario430,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario431,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario432,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario433,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario434,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario435,20,40,0,0,0,0.8,0,100,2,0,1,2
scenario436,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario437,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario438,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario439,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario440,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario441,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario442,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario443,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario444,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario445,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario446,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario447,20,40,0,0,0,0.8,0,100,2,0,1,2
