Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,direction
scenario133,-30,20,40,0,20,60,0.8,80,20,0
scenario134,0,20,40,0,0,60,0.1,0,100,0
scenario135,-90,40,20,40,60,100,0.6,40,60,0
scenario136,90,40,80,20,100,100,0.6,40,60,0
scenario137,0,20,60,0,100,40,0.6,80,20,0
scenario138,30,20,100,0,80,60,0.6,0,100,0
scenario139,-90,80,100,0,0,100,0.1,0,100,0
scenario140,30,20,80,60,40,60,0.6,20,80,0
scenario141,-90,60,40,20,100,40,0.6,40,60,1
scenario142,30,40,100,40,100,0,0.6,20,80,1
scenario143,-90,40,20,100,0,0,0.8,80,20,1
scenario144,-30,20,60,0,40,100,0.4,0,100,1
scenario145,90,20,80,0,0,80,0.2,40,60,0
scenario146,60,40,20,0,0,40,0.8,40,60,1
scenario147,-90,60,20,0,0,0,0.8,20,80,0
scenario148,60,80,60,0,80,40,0.6,0,100,0
scenario149,90,20,60,20,100,40,0.6,40,60,1
scenario150,90,20,100,40,20,40,0.8,100,0,1
scenario151,0,40,100,100,0,80,0.4,100,0,1
scenario152,-90,0,60,0,0,80,0.4,0,100,1
scenario153,-90,40,100,40,60,100,0.6,40,60,1
scenario154,-30,60,100,0,0,20,0.8,80,20,0
scenario155,90,60,40,0,0,80,0.4,0,0,0
scenario156,-30,60,40,40,100,40,0.6,40,60,0
scenario157,30,0,100,0,60,40,0.6,80,20,1
scenario158,60,60,100,80,100,40,0.6,40,60,1
scenario159,-60,80,100,40,60,0,0.6,40,60,1
scenario160,60,20,80,40,0,0,0.4,0,100,0
scenario161,-90,20,100,40,80,40,0.6,60,40,1
scenario162,-90,20,60,20,60,40,0.6,20,20,0
scenario163,90,80,80,0,40,40,0.8,0,100,1
scenario164,-90,20,100,40,0,80,0.4,100,0,0
scenario165,-30,60,20,100,0,80,0.4,60,40,1
scenario166,-90,40,80,20,100,40,0.2,0,100,0
scenario167,90,20,20,20,0,60,0.6,100,0,1
scenario168,-60,20,40,60,80,40,0.6,0,100,1
scenario169,0,60,80,0,60,0,0.6,40,60,0
scenario170,0,60,80,80,0,0,0.8,100,0,0
scenario171,90,80,100,0,0,80,0.4,40,60,1
scenario172,0,60,60,40,0,0,0.8,40,60,1
scenario173,-90,20,20,20,0,100,0.4,40,60,1
scenario174,-30,0,20,0,0,80,0.4,40,60,0
scenario175,-60,80,60,0,20,40,0.8,0,100,1
scenario176,-90,60,60,40,100,40,0.6,100,0,0
scenario177,30,60,40,0,40,40,0.6,80,20,0
scenario178,-30,40,80,20,40,60,0.8,0,100,0
scenario179,90,40,40,0,100,100,0.1,80,20,1
scenario180,90,60,80,40,0,0,0.8,100,0,0
scenario181,0,0,80,0,100,40,0.6,0,100,1
scenario182,30,60,80,60,0,0,0.8,0,100,1
scenario183,30,80,100,40,0,80,0.4,40,60,1
scenario184,0,60,20,40,20,40,0.8,100,0,1
scenario185,60,60,20,0,0,0,0.4,80,20,0
scenario186,30,60,40,40,0,100,0.4,100,0,0
scenario187,-30,20,20,20,100,0,0.6,40,60,1
scenario188,60,60,100,60,100,60,0.6,100,0,1
scenario189,-60,40,40,100,100,40,0.6,80,20,0
scenario190,-60,40,40,100,0,100,0.6,20,80,0
scenario191,-60,60,20,0,100,60,0.6,0,100,0
scenario192,60,20,20,0,100,40,0.4,0,100,0
scenario193,90,20,40,0,60,0,0.6,0,100,1
scenario194,90,20,40,40,0,0,0.8,0,100,1
scenario195,-60,0,100,0,20,40,0.8,80,20,0
scenario196,30,40,20,60,100,40,0.6,100,0,0
scenario197,90,40,80,20,40,40,0.6,40,60,0
scenario198,90,40,60,20,40,0,0.6,40,60,1
scenario199,30,40,60,60,100,40,0.6,0,100,0
scenario200,30,60,20,0,100,60,0.6,0,100,1
scenario201,-90,20,40,20,80,40,0.6,100,100,0
scenario202,30,20,100,0,0,100,0.1,80,20,1
scenario203,-90,60,40,0,0,80,0.8,80,20,1
scenario204,30,60,80,0,0,40,0.8,0,100,1
scenario205,-90,40,100,0,100,0,0.6,100,0,0
scenario206,60,60,60,100,0,0,0.8,40,60,0
scenario207,-60,0,20,0,60,40,0.6,0,100,0
scenario208,-60,40,100,80,0,80,0.4,40,60,0
scenario209,0,20,100,0,0,80,0.1,0,100,1
scenario210,0,20,20,0,60,0,0.6,0,100,0
scenario211,-30,0,60,0,60,40,0.6,80,20,1
scenario212,0,80,20,0,0,0,0,0,100,1
scenario213,-30,40,20,60,0,80,0.4,100,0,0
scenario214,-90,80,100,0,0,0,0.8,80,20,0
scenario215,30,40,40,80,40,40,0.8,40,60,1
scenario216,-60,60,20,20,100,0,0.6,100,0,1
